---2 0 3 9 8 5 4 3 7 6---
2 (100, 135, 85, 120)
0 (125, 210, 85, 120)
3 (148, 183, 85, 120)
9 (172, 207, 85, 120)
8 (199, 234, 85, 120)
5 (227, 262, 85, 120)
4 (260, 295, 85, 120)
3 (291, 326, 85, 120)
7 (332, 367, 85, 120)
6 (363, 398, 85, 120)
---5 4 1 2 9 6 7 3 0 8---
5 (97, 132, 145, 180)
4 (122, 157, 147, 182)
1 (147, 181, 150, 184)
2 (170, 204, 152, 186)
9 (195, 229, 152, 186)
6 (224, 259, 152, 187)
7 (257, 292, 152, 187)
3 (293, 328, 153, 188)
0 (331, 366, 155, 190)
8 (361, 396, 155, 190)
---1 3 5 7 9 2 4 6 8 0---
1 (93, 127, 207, 241)
3 (119, 153, 209, 243)
5 (144, 178, 212, 246)
7 (171, 205, 212, 246)
9 (197, 231, 213, 247)
2 (226, 260, 217, 251)
4 (257, 291, 217, 251)
6 (290, 325, 216, 251)
8 (332, 367, 218, 253)
0 (362, 397, 223, 258)
